subject_id,arm,test_fold,cohort,dice_femur,assd_mm_femur,hd95_mm_femur,empty_prediction_femur,false_bridge_femur,dice_tibia,assd_mm_tibia,hd95_mm_tibia,empty_prediction_tibia,false_bridge_tibia,dice_patella,assd_mm_patella,hd95_mm_patella,empty_prediction_patella,false_bridge_patella,dice_fibula,assd_mm_fibula,hd95_mm_fibula,empty_prediction_fibula,false_bridge_fibula,dice_macro,assd_mm_macro
VSD_002,plain_prelu_style,0,healthy,0.6089079561313704,8.321226595144983,15.670457888612194,0.0,0.0,0.5475723230261106,9.723986173682203,22.420034288263743,0.0,0.0,0.40769205645719936,7.789756921094651,15.877482561904777,0.0,0.0,0.09748233911223195,24.432509817491635,52.74577183149214,0.0,0.0,0.41541366868172813,12.566869876853367
VSD_002,plain_unet_style,0,healthy,0.6232690352509596,7.913394008479319,15.386072327972805,0.0,0.0,0.6065228879593637,8.078878632751406,18.782750319387375,0.0,0.0,0.3855128717549139,8.323983647307209,17.02163374837282,0.0,0.0,0.1052898016318963,22.11608233243843,45.93786880710522,0.0,0.0,0.4301486491492834,11.608084655244092
VSD_002,residual_relu_style,0,healthy,0.6863061219563441,6.066705699060685,12.87044923638679,0.0,0.0,0.6535147123389371,6.860418824474275,19.06445722335695,0.0,0.0,0.46891896839548863,6.306528318200015,12.508967971810973,0.0,0.0,0.18835775186779966,13.30089797442093,28.261071929364448,0.0,0.0,0.49927438863964235,8.133637704038977
VSD_002,residual_vnet_style,0,healthy,0.6739471194586186,6.40746690676035,13.552983828074467,0.0,0.0,0.6404997529147898,7.215037157904447,19.505876973643232,0.0,0.0,0.45257305739514686,6.634412990254093,12.959461114848862,0.0,0.0,0.1767263506073963,14.277069268295069,29.757082833676968,0.0,0.0,0.48593657009398783,8.63349658080349
VSD_006,plain_prelu_style,1,healthy,0.6451683248235632,8.22073152182741,18.634683214374917,0.0,0.0,0.6565490782073568,7.737272117650729,21.329364991056515,0.0,0.0,0.4993871979046957,6.5428880953973465,12.26359543685182,0.0,0.0,0.16667344178874086,19.929299394454425,46.30521746553683,0.0,0.0,0.49194451068108913,10.607547782332478
VSD_006,plain_unet_style,1,healthy,0.6789449733674432,7.291240669119264,17.941647402072775,0.0,0.0,0.657175780839199,7.757288992844188,21.644875913947455,0.0,0.0,0.43809411183177366,7.600649093006423,13.822816081692888,0.0,0.0,0.1832856096239884,17.774342600830394,42.61611968771551,0.0,0.0,0.48937511891560104,10.105880338950065
VSD_006,residual_relu_style,1,healthy,0.702425020285584,6.67542794954419,18.42961159350519,0.0,0.0,0.6769442215693381,6.95758434674726,16.61738841350234,0.0,0.0,0.524864006937996,5.5791512318456675,10.9604573703499,0.0,0.0,0.26316652993882095,12.390897300510852,31.90327113068431,0.0,0.0,0.5418499446829348,7.900765207161992
VSD_006,residual_vnet_style,1,healthy,0.6935690255199223,6.641692473466409,17.675675581750312,0.0,0.0,0.674086308438147,6.731983179008273,16.400747225090115,0.0,0.0,0.38680924254656385,11.544065397643198,43.26719142372906,0.0,0.0,0.2759184762371768,11.49946443613678,29.839591623290538,0.0,0.0,0.5075957631854524,9.104301371563665
VSD_010,plain_prelu_style,3,healthy,0.620433337177277,8.074524446692033,17.154780263552503,0.0,0.0,0.6537009874942943,7.1563014785176975,19.435797730428256,0.0,0.0,0.2938333891086061,10.734205165211554,23.09923367533117,0.0,0.0,0.1304147797479363,24.25914278172,59.27502725396922,0.0,0.0,0.4245956233820285,12.556043468035323
VSD_010,plain_unet_style,3,healthy,0.6149233715226099,8.24220888217145,16.71385045120355,0.0,0.0,0.6730411678014137,6.7452254424610505,19.013427167716248,0.0,0.0,0.3004974246421106,10.603386194051826,22.810438523240734,0.0,0.0,0.11580552316388065,25.924791134333702,60.590862301471475,0.0,0.0,0.42606687178250363,12.878902913254507
